MessageType,TransmissionType,SessionID,AircraftID,HexIdent,FlightID,DateGenerated,TimeGenerated,DateLogged,TimeLogged,Callsign,Altitude,GroundSpeed,Track,Latitude,Longitude,VerticalRate,Squawk,Alert,Emergency,SPI,IsOnGround
MSG,3,,,FA1006,,2025/11/19,13:14:04.664,2025/11/19,13:14:04.664,FLRFA1006,1847,3.0,114.0,46.68007,7.85133,,,0,0,0,0
MSG,3,,,406D78,,2025/11/19,13:14:04.666,2025/11/19,13:14:04.666,G-ZBKB,8919,262.0,291.0,51.48840,-0.88718,,,0,0,0,0
MSG,3,,,396C3C,,2025/11/19,13:14:04.667,2025/11/19,13:14:04.667,F-JDMT,2933,79.0,322.0,47.89850,7.35020,,,0,0,0,0
MSG,3,,,4B25EA,,2025/11/19,13:14:04.677,2025/11/19,13:14:04.677,FLR4B25EA,3438,75.0,153.0,46.57720,7.07278,,,0,0,0,0
MSG,3,,,502C8A,,2025/11/19,13:14:04.680,2025/11/19,13:14:04.680,FLR502C8A,649,75.0,339.0,56.6,,,,,,,
MSG,3,,,3DF746,,2025/11/19,13:14:04.681,2025/11/19,13:14:04.681,D-HNWW,1477,50.0,199.0,50.78385,7.00940,,,0,0,0,0
MSG,3,,,4B1E45,,2025/11/19,13:14:04.683,2025/11/19,13:14:04.683,ICA4B1E45,7711,92.0,208.0,48.25403,7.74967,,,0,0,0,0
MSG,3,,,484C50,,2025/11/19,13:14:04.685,2025/11/19,13:14:04.685,PH-EZL,10005,257.0,243.0,47.30782,19.34247,,,0,0,0,0
MSG,3,,,DD927C,,2025/11/19,13:14:04.690,2025/11/19,1,,,,,,,,,,,,
MSG,3,,,4CA852,,2025/11/19,13:14:04.696,2025/11/19,13:14:04.696,EI-EMJ,4831,234.0,213.0,37.42943,-6.04243,,,0,0,0,0
MSG,3,,,39C5C8,,2025/11/19,13:14:04.699,2025/11/19,13:14:04.699,ICA39C5C8,16053,186.0,213.0,41.50015,-1.30677,,,0,0,0,0
MSG,3,,,3C5EF2,,2025/11/19,13:14:04.701,2025/11/19,13:14:04.701,D-AGWR,5517,254.0,299.0,51.29723,6.62205,,,0,0,0,0
MSG,3,,,3B75EE,,2025/11/19,13:14:04.710,2025/11/19,13:14:04.710,ICA3B75EE,12343,298.0,5.0,46.06780,-0.53145,,,0,0,0,0
